Desmodium incanum	ARG(CAT, CHA, COS, ERI, FOR, JUJ, MIS, SAL, SFE, TUC) / BRA(PAR, RGS, SCA) / PRY(CEN, ITA, MIE, ÑEE, PAI) / URY(ART, CLA, COL, MON, PAY, RIV, SAO, TAC, TYT)
Desmodium intermedium	ARG(CHA, FOR)
Desmodium leiocarpum	ARG(MIS) / BRA(PAR, RGS, SCA) / PRY(APA, AMA)
Desmodium membranifolium	BRA(Fuera del área del proyecto) / PRY(CON)
Desmodium microcarpum	ARG(CHA, COS, FOR, MIS, SFE, TUC) / BRA(PAR) / PRY(AMA, COA, SPE) / URY(COL)
Desmodium pachyrrhizum	ARG(CHA, COS, FOR, MIS, SFE, TUC) / BRA(PAR, RGS, SCA) / PRY(APY, CAA, CAN, SPE) / URY(ART, MON, RIV, TAC)
Desmodium platycarpum	BRA(Fuera del área del proyecto)
Desmodium polygaloides	ARG(CHA, COS, ERI, FOR, MIS) / BRA(PAR, RGS, SCA) / PRY(COA, MIE) / URY(RIV, TAC)
Desmodium procumbens	ARG(CAT, JUJ, SAL, SJU, SDE, TUC) / BRA(PAR)
Desmodium riedelii	ARG(COS) / BRA(Fuera del área del proyecto)
Desmodium sclerophyllum	BRA(Fuera del área del proyecto)
Desmodium subsecundum	BRA(PAR, RGS, SCA)
Desmodium subsericeum	ARG(CAT, JUJ, SAL, TUC) / BRA(PAR, RGS, SCA) / CHL(TAR)
Desmodium tortuosum	ARG(COR, COS, JUJ, MIS, SAL, TUC) / BRA(PAR, RGS, SCA) / PRY(AMA, CAU, CON, ITA)
Desmodium triarticulatum	BRA(RGS, SCA)
Desmodium triflorum	BRA(SCA)
Desmodium uncinatum	ARG(BAI, CHA, COR, COS, ERI, FOR, JUJ, MIS, SAL, SFE, TUC) / BRA(PAR, RGS, SCA) / PRY(APA, CAA, GUA) / URY(CLA, COL, LAV, RNO, RIV, ROC, SAO, SJO, SOR, TAC, TYT)
Desmodium venosum	ARG(CHA, FOR, MIS, SFE) / BRA(PAR, RGS, SCA) / URY(RIV)
Desmoscelis villosa	PRY(AMA)
Deuterocohnia brevifolia	ARG(CAT, JUJ, LRI, SAL, TUC)
Deuterocohnia chrysantha	CHL(ANT, ATA)
Deuterocohnia digitata	ARG(SAL)
Deuterocohnia haumanii	ARG(CAT, COR, LRI, SAL, SJU, TUC)
Deuterocohnia longipetala	ARG(CAT, COR, JUJ, LPA, LRI, MEN, SAL, SDE, SJU, SLU, TUC)
Deuterocohnia lorentziana	ARG(CAT, JUJ, LRI, SAL)
Deuterocohnia meziana	BRA(Fuera del área del proyecto) / PRY(APY, AMA, BOQ, CON)
Deuterocohnia meziana ssp. vogtii	PRY(APY, PHA)
Deuterocohnia meziana ssp. vallegrandensis	ARG(JUJ)
Deuterocohnia recurvipetala	ARG(Desconocida)
Deuterocohnia schreiteri	ARG(CAT, COR, LRI, MEN, SAL, SJU, SLU, TUC)
Deuterocohnia strobilifera var. inermis	ARG(SAL)
Deyeuxia alba ssp. alba	ARG(BAI, COR, COS) / BRA(RGS, SCA) / PRY(SPE) / URY(CAS, CLA, DUR, FLO, FLA, LAV, MAL, MON, RNO, RIV, ROC, SAO, SJO, SOR, TAC, TYT)
Deyeuxia alba ssp. tricholemma	ARG(ERI) / BRA(RGS) / URY(MAL, PAY, SOR)
Deyeuxia alba ssp. breviaristata	ARG(BAI) / BRA(RGS) / URY(MAL)
Deyeuxia breviaristata	ARG(CAT, JUJ, LRI, SAL, TUC) / CHL(TAR, ANT, ATA)
Deyeuxia brevifolia var. brevifolia	ARG(CAT, JUJ, LRI, SAL, TUC)
Deyeuxia brevifolia var. expansa	CHL(TAR)
Deyeuxia cabrerae var. cabrerae	ARG(JUJ, SAL) / CHL(ANT)
Deyeuxia cabrerae var. maxima	ARG(JUJ)
Deyeuxia cabrerae var. trichopoda	ARG(CAT, JUJ, LRI, SAL) / CHL(ANT)
Deyeuxia cabrerae var. aristulata	ARG(JUJ, SAL) / CHL(ANT)
Deyeuxia calderillensis	ARG(JUJ, TUC)
Deyeuxia chrysantha var. chrysantha	ARG(JUJ) / CHL(TAR, ANT)
Deyeuxia chrysantha var. phalaroides	ARG(JUJ, SAL) / CHL(TAR, ANT)
Deyeuxia chrysophylla	ARG(CAT, JUJ, LRI, SAL, TUC) / CHL(ANT, ATA)
Deyeuxia chrysostachya	ARG(JUJ, MEN, SAL, SJU) / CHL(ANT, COQ, VAL, RME)
Deyeuxia colorata	ARG(CAT, COR, JUJ, LRI, SAL, TUC)
Deyeuxia crispa	ARG(CAT, JUJ, LRI, SAL) / CHL(TAR, ANT)
Deyeuxia cryptolopha	ARG(JUJ, SAL)
Deyeuxia curta	ARG(SAL, TUC)
Deyeuxia curvula	ARG(CAT, JUJ, LRI, SAL, SJU, TUC) / CHL(TAR, ANT)
Deyeuxia deserticola var. breviaristata	ARG(CAT, JUJ, LRI, SJU) / CHL(TAR, ANT)
Deyeuxia deserticola var. deserticola	ARG(CAT, JUJ, LRI, SAL, SJU, TUC) / CHL(TAR, ANT)
Deyeuxia diemii	ARG(NEU) / CHL(MAU)
Deyeuxia eminens var. eminens	ARG(CAT, COR, JUJ, LRI, MEN, SAL, SJU, TUC) / CHL(TAR, ANT, ATA, COQ)
Deyeuxia eminens var. fulva	ARG(CAT, COR, JUJ, LRI, MEN, SAL, SJU, TUC) / CHL(ANT, ATA, COQ, VAL)
Deyeuxia eminens var. discreta	CHL(TAR, ANT)
Deyeuxia eminens var. inclusa	ARG(JUJ, LRI, SAL, SJU)
Deyeuxia erythrostachya var. erythrostachya	ARG(CHU, MEN, NEU, RNE, SCR, TDF) / CHL(COQ, VAL, MAU, BIO, LLA, AIS, MAG, RME)
