Lathyrus sativus	CHL(LBO, MAU, BIO) / URY(MON)
Lathyrus subandinus	CHL(VAL, MAU, BIO, ARA, RME)
Lathyrus subulatus	ARG(BAI, COR, ERI, LPA, MIS, SFE) / BRA(RGS, SCA) / URY(ART, CAS, CLA, COL, DUR, FLO, FLA, LAV, MAL, MON, PAY, RNO, RIV, ROC, SAO, SJO, SOR, TAC)
Lathyrus tomentosus	ARG(BAI, CHU, SFE) / URY(CAS, COL, MON, ROC, SJO)
Lathyrus tropicalandinus	ARG(CAT, SAL, TUC)
Latua pubiflora	CHL(BIO, ARA, LLA)
Laurelia sempervirens	CHL(MAU, BIO, ARA, LLA)
Laureliopsis philippiana	ARG(CHU, NEU, RNE) / CHL(MAU, BIO, ARA, LLA, AIS)
Laurembergia tetrandra	BRA(PAR, RGS, SCA) / PRY(AMA) / URY(CAS)
Lavoisiera phyllocalycina	BRA(PAR)
Lavoisiera pulchella	BRA(PAR)
Leandra acutiflora	BRA(PAR, SCA)
Leandra amplexicaulis	BRA(PAR, SCA)
Leandra aurea	BRA(PAR)
Leandra australis var. australis	ARG(COS, MIS) / BRA(PAR, RGS, SCA) / PRY(AMA, CAU, CAA, CAN, CEN, GUA)
Leandra australis var. angustifolia	ARG(COS) / BRA(PAR, SCA)
Leandra australis var. phaeotricha	BRA(RGS, SCA) / URY(ART, CLA)
Leandra balansae	ARG(MIS, SAL) / BRA(SCA) / PRY(APA, CAU, CAA, CEN, PAI)
Leandra barbinervis	BRA(PAR, SCA)
Leandra bergiana	BRA(SCA)
Leandra calvescens	BRA(PAR, SCA)
Leandra camporum	BRA(RGS)
Leandra carassana	BRA(PAR, RGS, SCA)
Leandra cardiophylla	BRA(PAR, SCA)
Leandra catharinensis	BRA(PAR, RGS, SCA)
Leandra chaetodon	PRY(AMA)
Leandra confusa	BRA(PAR)
Leandra cordifolia	BRA(PAR, SCA)
Leandra cordigera var. transiens	BRA(SCA)
Leandra cordigera var. cordigera	BRA(PAR, SCA)
Leandra crenata	ARG(MIS, SAL) / BRA(Fuera del área del proyecto) / PRY(APA, COA, PAI)
Leandra debilis	BRA(PAR, SCA)
Leandra dispar	BRA(PAR, RGS)
Leandra dubia	BRA(SCA)
Leandra echinata	BRA(PAR, SCA)
Leandra eichleri	BRA(PAR)
Leandra erostrata var. minor	ARG(SAL) / BRA(PAR)
Leandra erostrata var. erostrata	ARG(MIS, SAL) / BRA(PAR, RGS, SCA) / PRY(AMA)
Leandra fallax	BRA(PAR, SCA)
Leandra fastigiata	BRA(PAR)
Leandra foveolata	BRA(PAR)
Leandra fragilis	BRA(PAR, SCA)
Leandra glabrata	BRA(PAR)
Leandra glazioviana	BRA(PAR, SCA)
Leandra gracilis	BRA(PAR, SCA)
Leandra hatschbachii	BRA(PAR)
Leandra herincquiana	PRY(CAU)
Leandra hirtella	BRA(PAR, SCA)
Leandra horrida	BRA(PAR, SCA)
Leandra humilis var. glabrata	BRA(SCA)
Leandra ionopogon	BRA(PAR, SCA)
Leandra itatiaiae	BRA(PAR, SCA)
Leandra lacunosa	BRA(PAR) / PRY(COA)
Leandra laevigata	BRA(PAR, RGS, SCA)
Leandra longisetosa	BRA(PAR)
Leandra longistyla	BRA(PAR)
Leandra luctatoris	BRA(SCA)
Leandra macropora	BRA(SCA)
Leandra melastomoides	BRA(PAR, SCA)
Leandra microphylla	BRA(PAR)
Leandra multiplinervis	BRA(PAR)
Leandra neglecta	BRA(PAR, SCA)
Leandra niederleinii	ARG(MIS)
Leandra opaca	BRA(RGS)
Leandra pallida var. brevifolia	BRA(SCA)
Leandra pallida var. pallida	BRA(PAR, SCA)
Leandra parvifolia	BRA(PAR)
Leandra pilonensis	BRA(PAR, SCA)
Leandra planifilamentosa	BRA(PAR, RGS, SCA)
Leandra polystachya	BRA(PAR, RGS, SCA)
Leandra purpurascens	BRA(PAR, RGS, SCA)
Leandra purpureo-villosa	BRA(PAR, RGS, SCA)
Leandra quinquedentata	BRA(PAR, SCA)
Leandra ramboi	BRA(RGS)
Leandra refracta	BRA(PAR, SCA)
Leandra regnellii	ARG(MIS, SAL) / BRA(PAR, RGS, SCA)
Leandra reitzii	BRA(PAR, SCA) / PRY(AMA, CEN, COA, PAI)
Leandra reversa	BRA(PAR, SCA)
Leandra riograndensis	BRA(PAR, RGS, SCA)
Leandra sabiaënsis	BRA(PAR, SCA)
Leandra salicina	BRA(PAR)
Leandra scabra	BRA(PAR, SCA)
Leandra sericea	BRA(PAR)
Leandra simplicicaulis	BRA(PAR, SCA)
Leandra sulfurea	BRA(PAR, SCA)
Leandra tetraquera	BRA(PAR, SCA)
Leandra ulaei	BRA(SCA)
Leandra urbaniana	BRA(SCA)
Leandra variabilis	BRA(PAR, RGS, SCA)
Leandra xanthocoma	ARG(MIS) / BRA(PAR, RGS, SCA) / PRY(CAN)
Leandra xanthostachya	BRA(PAR, SCA)
Lebetanthus myrsinites	ARG(TDF) / CHL(LLA, AIS, MAG)
Lecanophora ameghinoi	ARG(CAT, CHU, LRI, MEN, NEU, RNE, SCR, SJU)
Lecanophora chubutensis	ARG(CHU, MEN, NEU, RNE, SCR)
Lecanophora ecristata	ARG(BAI, CHU, LPA, MEN, NEU, RNE, SCR, SJU, SLU)
